word or phrase,translation
直行,"going straight (to), going direct, going without stopping, unwavering action, decisive action, upright conduct"
直航,"direct voyage, direct service"
一寸,"a little, a bit, slightly, just a minute, for a moment, briefly, somewhat, rather, fairly, pretty, quite, (not) easily, (not) readily, hey!, come on, excuse me, thanks, but no, not feasible, not possible"
ちょっぴり,"a tiny bit, just a smidgin, a wee bit, very slightly"
ちょびっと,a little
著名,"well-known, noted, celebrated"
千代,"thousand years, very long period, forever"
散らかす,"to scatter around, to leave untidy, to make a mess"
散らかる,"to be in disorder, to lie scattered around"
散らし,"leaflet, scattering, sushi rice in a box or bowl with a variety of ingredients sprinkled on top, writing in an irregular hand"
散らす,"to scatter, to cause a shower of, to disperse, to distribute, to spread, to resolve (a symptom, condition, etc.), to relieve, to get rid of, to cure, to distract, to divert, to do ... wildly (i.e. disorderly or frequently), to do ... all over the place"
ちらちら,"falling lightly (e.g. snow, petals, confetti), fluttering, flickering, twinkling, glimmering, sparkling, dazzling, appearing and disappearing, catching glimpses, glancing (repeatedly), (hear, see) from time to time, intermittently"
ちらっと,"at a glance, by accident"
散らばる,"to be scattered about, to disperse, to be littered (with)"
塵,"dust, trash, garbage, rubbish, dirt, negligible amount, tiny bit, hustle and bustle (of life), worldly cares, impurities of the world, ritual gestures indicating that a fight will be clean"
地理,geography
ちり紙,"tissue paper, toilet paper"
地理情報システム,"geographic information system, GIS"
ちり取り,dustpan
治療,"(medical) treatment, care, therapy, cure, remedy"
治療法,"method of treatment, cure, remedy"
知力,"wisdom, intellectual power, intelligence, mental capacity, brains"
散る,"to fall (e.g. blossoms, leaves), to scatter, to be dispersed, to disappear, to dissolve, to break up, to spread, to run, to blur, to die a noble death"
珍,"rare, strange, odd, peculiar, curious"
賃上げ,"wage increase, pay rise"
鎮圧,"suppression (of a riot, revolt, etc.), repression, putting down, quelling"
沈下,"sinking, subsidence"
鎮火,"extinguishing, dying out (of a fire), putting out"
賃金,"wages, pay, rental payment"
賃金格差,wage differential
沈降,"sedimentation (e.g. of red blood cells), precipitation, settling, subsidence (e.g. of land), sinking, submerging"
鎮魂,"repose of a soul, ceremony for the repose of a departed soul"
賃下げ,pay cut
鎮座,enshrinement
陳謝,apology
賃借,"hiring, renting, leasing"
珍事,"strange incident, unusual occurrence, rare event, grave (and unexpected) incident, serious event, accident"
鎮守,"local Shinto deity, tutelary god"
陳述,"statement, declaration"
陳情,"petition, appeal"
沈静,"stillness, tranquility, tranquillity, dullness"
鎮静,"calm, quiet, tranquility, tranquillity, appeasement, pacification"
沈滞,"stagnation, inactivity"
賃貸,"lease, rent, hire"
賃貸借,"renting, leasing"
沈着,"composure, calmness, self-possession, presence of mind, depositing (at the bottom), deposition, accumulation, adherence"
珍重,"prizing, valuing highly, esteeming"
ちんちん,"penis, with a tinkle, with a jingle, with a whistle (of a kettle), sitting up and begging (of a dog), juvenile black porgy, childrens game in which one hops on one foot, very hot (e.g. of tea), flirting, fondling, jealousy"
沈痛,"grave, sad, mournful, sorrowful, pensive"
鎮痛剤,"analgesic, painkiller, sedative, tranquilizer, tranquiliser"
鎮定,"suppression (e.g. of a rebellion), pacification"
珍品,"curio, rare article"
陳腐,"stale, hackneyed, cliched"
珍紛漢紛,"unintelligible language, incoherent language, talking nonsense, babble, gibberish, jargon, gobbledygook"
沈没,"sinking, foundering, going down, submersion, getting dead drunk, having too much fun (esp. in a red-light district, etc.) and missing work or neglecting ones duties, staying in one place for a long time"
珍味,"delicacy, dainties"
珍妙,"queer, odd, fantastic"
沈黙,"silence, being silent, quiet, hush, reticence, inaction"
陳列,"exhibition, display, putting on show"
って,"you said, he said, she said, they said, even if, do you seriously think that, I already told you, you should know by now that, of course, the said ..., said ..., says that ..., I hear that ..., as for the term ..., as for ..."
ってことは,"that is to say, so that means"
っ放し,"keep ...-ing, have been ...-ing, leaving (something) on, leaving (something) still in use"
っぽい,"-ish, -like"
対,"pair, couple, set, antithesis, counter for items that come in pairs, counter for sets (of clothes, small furniture, utensils, etc.)"
つい,"just (now), quite (near), unintentionally, subconsciously, by mistake, against ones better judgement (judgment)"
追憶,"recollection, reminiscence"
追加,"addition, supplement, appending, appendix"
椎間板,intervertebral disk
追及,"investigation (e.g. into someones guilt), questioning, pressing, hounding, pinning down, catching up, overtaking"
追求,"pursuit (of a goal, ideal, etc.), search, chase, seeking after"
追究,"investigation (e.g. academically, of the unknown), close inquiry (enquiry)"
追撃,"pursuit (of a fleeing enemy), chase"
追試,"replication (of an experiment), verification (of experimental results), reproduction, corroboration, supplementary examination, makeup exam"
追従,"flattery, sycophancy, adulation"
追伸,"postscript, post scriptum, PS, P.S."
築地,"mud wall with a roof, roofed mud wall"
追随,"following (in the footsteps of), catching up with, coming level with"
追跡,"chase, pursuit, tracking, stalking, following up, tracing"
追善,"mass for the dead, Buddhist service held on the anniversary of someones death"
追想,"recollection, reminiscence"
１日,"1st day of the month, first 10 days of the lunar month"
追徴,"supplementary charge, additional collection"
就いて,"about, concerning, as to, regarding"
ついて行く,"to accompany, to follow, to keep up with"
付いてくる,"to follow, to come along with one, to accompany"
付いてる,"to be lucky, to be in luck, to be attached, to have, to be included, to come with, to contain, to be in a state"
序で,"opportunity, occasion, chance, order, sequence, successor"
次いで,"next, secondly, subsequently"
序でに,"incidentally, taking the opportunity, while one is at it, in passing, on the occasion"
追悼,mourning
追突,rear-end collision
遂に,"finally, at last, in the end, after all, never (happened)"
追認,"ratification, confirmation"
追肥,(adding) extra fertilizer or manure (fertiliser)
追尾,"following, pursuing, tracking, shadowing, tailing, chasing"
追放,"exile, banishment, eviction, deportation, purge, expulsion, ousting, elimination (e.g. of poverty), removal"
費やす,"to spend, to expend, to consume, to waste, to squander, to throw away, to devote"
墜落,"fall, crash (e.g. aircraft)"
通,"authority, expert, connoisseur, well-informed person, counter for messages, letters, notes, documents, etc., understanding (esp. of male-female relations), tact, insight, supernatural powers, magical powers"
通院,"going to the hospital for regular treatment, going to the hospital regularly"
通過,"passing through (a tunnel, station, town, etc.), passing by (e.g. of a typhoon), transit, passage (of a bill, e.g. through parliament), carriage, passing (an examination, inspection, etc.), clearing, getting through (a preliminary round), qualification"
通貨,currency
痛快,"exhilarating, thrilling, intensely pleasurable"
通関,customs clearance
通巻,"consecutive number of volumes, total number of volumes"
痛感,"feeling keenly, fully realizing"
通学,"commuting to school, school commute"
通気,"ventilation, airflow"
通勤,commuting to work
通航,"navigation, sailing"
通行,"passage (of people or vehicles), passing (through), traffic, common usage, widespread use"
通行止め,"closure (of a road), suspension of traffic, road closed, closed to traffic, no through road"
通告,"announcement, notice"
痛恨,"deep regret, great sorrow, bitter grief"
通算,"total, sum, aggregate"
通産省,"(former) Ministry of International Trade and Industry (now Ministry of Economy, Trade and Industry), MITI"
通産相,Minister of International Trade and Industry
通史,overview of history
通称,"popular name, common name, nickname, alias"
通商,"commerce, trade"
通商産業省,"(former) Ministry of International Trade and Industry (now Ministry of Economy, Trade and Industry), MITI"
通信,"correspondence, communication, transmission, news, signal, telecommunications"
通信員,"correspondent, reporter"
通信衛星,"communication satellite, Broadcast Satellite, BS"
通信教育,"correspondence education, correspondence course, distance education"
通信社,news agency
通信販売,"online shopping service (with delivery by mail), mail order, mail-order sales, shop-by-mail service"
通信簿,report card
通信網,communications network
通じ,"bowel movement, evacuation, understanding"
通じ合う,"to be understood by each other (of thoughts, feelings, etc.), to be comprehended, to exchange with each other (thoughts, feelings, etc.), to express to each other (e.g. intentions), to communicate with each other"
通常,"usual, ordinary, normal, regular, general, common"
通じる,"to be open (to traffic), to lead to, to communicate (with), to flow (liquid, current), to pass, to get through to, to be understood, to be comprehended, to be honored, to be good, to be well versed in, to be well-informed, to communicate clandestinely, to keep in touch (e.g. with the enemy), to form a liaison, to be intimate, to spread widely, to disseminate"
