charcter,definition,pinyin
呦,the bleating of the deer,yōu
嗌,"the throat; to quarrel, choke",ài
囹,"prison, enclosure",líng
螈,a silkworm,yuán
脲,urea,niào
镊,"tweezers, forceps, pincers",niè
锑,antimony,tī
胨,a kind of protein,dòng
膈,diaphragm,gé
痼,chronic disease,gù
鳊,bream,biān
赅,prepared for; inclusive,gāi
贽,gift superior; gift given,zhì
處,"place, locale; department",chù
苤,kohl rabi,piě
峄,a range of peaks in Shandong and Jiangsu; the name of a mountain,yì
桡,bent or twisted piece of wood,ráo
雎,"osprey, fishhawk; hold back",jū
鲋,"carp, carassicus auratus",fù
鞫,"interrogate, question",jū
鼬,"weasel, mustela itatis",yòu
獯,a tribe of Scythians which invaded China during the Hsia dynasty,xūn
昀,sun light; used in personal names,yún
痍,"wound, bruise, sore",yí
蟊,a fly which is used similarly to cantharides,máo
鞴,saddle up horse; drive horse,bèi
疖,"pimple, sore, boil",jiē
熘,to steam,liū
乇,"to depend on, to entrust with",tuō
羸,"weak, lean, emaciated, exhausted",léi
嵴,mountain ridge,jǐ
栀,gardenia,zhī
槲,type of oak,hú
炝,stir-fry or boil in water or oil then cook with a sauce,qiàng
炷,"candle wick, lamp wick; stick of incense",zhù
硐,variant of ,dòng
锸,"spade, shovel; marking pin",chā
鹂,Chinese oriole; Oriolus oriolus,lí
裾,"lapel, border of garment; skirt",jū
侪,"a company, companion; together",chái
診,"examine patient, diagnose",zhěn
調,"transfer, move, change; tune",diào
珐,"enamel, cloissoné",fà
縯,long,yǎn
哔,used in transliterations,bì
屙,to ease nature,ē
旆,"flag ornament; flags, banners",pèi
佰,hundred,bǎi
僦,to heir; to rent,jiù
牯,cow; bull; ox,gǔ
钪,scandium,kàng
掾,a general designation of officials,yuàn
針,needle; pin; tack; acupuncture,zhēn
仟,one thousand; leader of one thousand men,qiān
圮,"destroyed, ruined; to subvert to injure",pǐ
芟,"mow, cut; weed out; scythe",shān
崃,mountain in Sichuan province,lái
廪,granary; stockpile,lǐn
擘,"thumb; break, tear open, rip",bāi
笱,"a basket trap for fish, placed in the opening of a weir",gǒu
跗,the instep,fū
鲅,fish name,bà
硷,"alkaline, alkali, lye, salt",jiǎn
苎,"china grass, ramie",zhù
匏,gourd; musical instrument,páo
嗾,"to set a dog on; incite, instigate",sǒu
圄,"prison, jail",yǔ
彀,"enough, adequate fully, quite",gòu
粳,non-glutinous rice,jīng
卣,wine pot,yǒu
勐,imperial degree; daoist magic,měng
掴,,guāi
涑,river in Shansi province,sù
浞,"to soak, to steep in water",zhuó
玳,tortoise shell,dài
愍,"pity, sympathize with",mǐn
畛,"border, boundary; raised path",zhěn
赧,"blush, turn red",nǎn
貉,badger; raccoon dog,háo
擀,roll flat,gǎn
湫,a small pond; a damp and narrow place,jiǎo
逦,"meandering, winding",lǐ
椴,"poplar, aspen",duàn
铄,"melt, smelt; shine",shuò
箧,"rattan box, suitcase, or case",qiè
刖,cutting off feet as form of punishment,yuè
鲮,carp,líng
訇,the sound of a crash,hōng
茱,dogwood,zhū
啖,"eat, feed; chew, bite; entice",dàn
悭,"miserly, parsimonious, stingy",qiān
愀,,qiǎo
朐,warm,qú
畈,field; farm,fàn
鹨,Anthus species (various),liù
蛘,"a weevil found in rice, etc.",yáng
佶,"strong, robust; exact, correct",jí
缃,light-yellow color,xiāng
晟,"clear, bright; splendor, brightness",chéng
鲱,herring,fēi
凼,ditch; pool,dàng
苴,sackcloth; female hemp plant,jū
颛,"good, honest; simple; respectful",zhuān
厍,surname,shè
匚,box; KangXi radical 22,fāng
徉,"wonder, rove, stray; hesitating",yáng
洙,name of a river in Shandong,zhū
氡,radon,dōng
胗,"pustules of any kind, a rash or eruption.measles; various kinds of fever",zhēn
癯,"thin, emaciated; worn, tired",qú
鞒,"mud shoe, sledge for the feet",qiáo
锆,zirconium,gào
佤,"the Va (Wa) nationality, living in Yunnan",wǎ
錢,"money, currency, coins",qián
飲,drink; swallow; kind of drink,yǐn
細,"fine, tiny; slender, thin",xì
勰,"peaceful, harmonious",xié
钺,"broad-axe, a battle axe, halberd",yuè
繇,"reason, cause",yáo
螭,a dragon whose horns have not grown; cruel,chī
嵬,"high; rugged, rocky, precipitous",wéi
轸,cross board at rear of carriage,zhěn
肟,an organic compound,wò
肫,"the gizzard of a fowl; honest, sincere",zhūn
邨,"village, hamlet; rustic",cūn
瘿,"swelling, goiter",yǐng
仞,,rèn
奁,,lián
宄,a traitor; a villain,guǐ
轳,"pulley, windlass, capstan",lú
熳,,màn
睇,"look at, glance at; stare at",dì
钼,molybdenum,mù
蝼,"a mole cricket, Gryllotalpa africana",lóu
跆,trample,tái
樗,"Ailanthus glandulosa or A. altissima, a kind of tree useless as timber",chū
鲰,small fish; small; minnow,zōu
節,"knot, node, joint; section",jié
诶,an exclamation of confirmation,éi
薜,"evergreen shrubs, ligusticum",bì
铧,"spade, shovel, plowshare",huá
裥,folds,jiǎn
榇,coffin; tung tree,chèn
馃,"cakes, biscuits, pastry",guǒ
術,"art, skill, special feat; method, technique",shù
蹚,tread through mud and water,tāng
怄,annoyed,òu
寤,"few, scarce; empty, deserted",wù
缗,fishing-line; cord; string of coi,mín
硗,barren land; sandy soil,qiāo
碡,stone roller used to level fields,dú
矬,a dwarf,cuó
鸱,"kite, horned owl; wine cups",chī
虺,large poisonous snake,huī
糅,"blend, mix; mixed",róu
雠,"enemy, rival, opponent",chóu
帑,a treasury; public funds,tǎng
镧,lanthanum,lán
埙,instrument,xūn
啁,"chirp, twitter, twittering",zhāo
悒,"sorrowful, depressed, unhappy",yì
犍,a bullock; a fabulous monster,jiān
硌,,gè
锩,to bend iron,juǎn
虿,a kind of scorpion,chài
蛑,a marine crab,móu
艉,,wěi
钅,gold; money; KangXi radical 167,jīn
咴,,huī
筮,divination with stalks of plants; divining rod,shì
艏,,shǒu
糁,a grain of rice; rice gruel mixed with meat,sǎn
鼍,"large reptile, water lizard",tuó
肄,"learn, practice, study; toil",yì
籴,purchase grains; store grain,dí
骜,"wild horse, mustang; wild",ào
砻,"grind, sharpen; mill",lóng
蜮,a fabulous creature like a turtle; a toad,yù
龀,lose baby teeth and get adult teeth,chèn
黢,black,qū
劢,"put forth effort, strive forward",mài
腫,swell; swollen; swelling,zhǒng
耪,"plow, cultivate",pǎng
鬯,sacrificial wine; unhindered,chàng
畚,"straw basket, hamper",běn
觳,an ancient measure; a goblet; mean; frightened,hú
稞,grain ready for grinding; grain,kē
鹁,species of pigeon,bó
鲲,spawn; roe; fy,kūn
稱,"call; name, brand; address; say",chēng
捌,"break open, split open; an accounting version of the numeral eight",bā
菔,turnip,fú
獬,a fabulous monster,xiè
柘,a thorny tree; sugarcane,zhè
娆,"graceful, charming, fascinating",ráo
篪,a bamboo flute with seven holes,chí
鲀,"blowfish, globefish, Spheroides vermicular",tún
谰,"accuse falsely; slander, libel",lán
孬,bad; cowardly,nāo
伥,ghost of one devoured by tiger,chāng
谇,"speak ill of, vilify; berate",suì
鄄,,juàn
狎,be familiar with; disrespect,xiá
闫,village gate,yàn
滟,"overflowing, billowing; wavy",yàn
齑,"break or smash into pieces, pulverize; hash",jī
遒,"strong, unyielding, forceful",qiú
磔,"to dismember, tear apart; downward stroke slanting right",zhé
聃,ears without rims; a personal name,dān
綦,dark grey. variegated. superlative,qí
鲡,eel,lí
蔻,肉,kòu
泠,"nice and cool, mild and comfortable",líng
砗,"giant clam, tridacna gigas",chē
钕,neodymium,nǚ
镫,lamp; a kind of cooking vessel,dèng
菹,salted or pickled vegetables,jū
胂,,shèn
煅,,duàn
煸,to stir-fry before broiling or stewing,biān
螯,nippers,áo
躅,"walk carefully; hesitate, falter",zhú
鲠,"fish bones; honest, upright",gěng
佥,"all, together, unanimous",qiān
罘,screen used in ancient times,fú
嶝,path leading up a mountain,dèng
適,"match, comfortable; just",shì
坨,"a lump, heap",tuó
菽,"beans and peas, collectively",shū
哞,moo,mōu
徜,walking and fro; lingering,cháng
慊,to resent; contended; satisfied,qiàn
洳,"damp, boggy, marshy",rù
渑,name of a river in Shandong,miǎn
灞,river in Shanxi province,bà
盍,what? why not?,hé
钋,polonium,pō
鸫,thrush; Turdus species (various),dōng
踯,"waver, hesitate, be irresolute",zhí
縻,"halter for ox; tie up, harness",mí
萘,naphthalene,nài
褫,"strip, tear off, undress",chǐ
羰,,tāng
腦,brain,nǎo
俅,ornamental cap,qiú
芤,,kōu
隳,to destroy; to overthrow,huī
洮,cleanse; river in Gansu province,táo
胼,"callus, calluses",pián
罴,"brown bear, ursus arctos",pí
镛,large bell used as musical instrument,yōng
怛,"grieved, saddened; worried",dá
芊,exuberant and vigorous foliage,qiān
啉,stupid; slow,lín
噌,"scold, shout at",cēng
嫱,lady,qiáng
绲,cord; woven belt; hem; hemming,gǔn
膻,a rank odor; a technical term from Chinese medicine for the center of the chest,shān
焐,,wù
裡,"inside, interior, within",lǐ
葎,Humulus japonicus,lǜ
亓,"(archaic form) his, her, its, their; that",qí
倮,"bare, naked, uncovered",luǒ
莼,an edible water plant-brasenia,chún
蘅,a fragrant plant the root is medicinal,héng
嘞,(Cant.) final particle used for polite refusal,lei
缒,climb down rope; hang by rope,zhuì
镆,sword,mò
網,"net, web; network",wǎng
伧,"vulgar person, country man",cāng
荏,"beans; soft, pliable; herb",rěn
唳,cry of bird; cry,lì
檩,the bole of a tree; a cross beam; the combing round the hatches of a ship,lǐn
鸶,the eastern egret,sī
蚬,a variety of bivalves,xiǎn
骱,,jiè
蘖,"stump, sprout",niè
澍,"timely rain, life-giving rain",shù
韫,"secrete, hide, conceal",yùn
颎,bright,jiǒng
嘏,"felicity, prosperity; large and strong",gǔ
垡,plow soil; place name,fá
腚,buttock,dìng
焯,boil vegetables for a very short time; scald,chāo
繻,fine silk guaze; torn piece of silk,xū
怙,"rely on, presume on; persist in",hù
羧,carboxyl group,suō
鼙,drum carried on horseback,pí
倥,"boorish, ignorant; urgent, pressing",kōng
亳,name of district in Anhui; capital of Yin,bó
艽,,jiāo
荠,water-chestnuts; caltrop,jì
昴,one of the 28 constellations,mǎo
舨,a sampan,bǎn
魈,"mischevious, one footed spirit that dwells in the mountains",xiāo
醣,carbohydrates,táng
枵,"hollo stump of a tree; empty, thin",xiāo
粜,sell grains,tiào
甙,sugar product,dài
珲,"bright, glorious, splendid",huī
杓,"handle of cup, ladle, spoon; name of a constellation",biāo
楸,"mallotus japonicus, deciduous tre",qiū
楦,a last for making shoes; to turn on a lathe,xuàn
疃,hamlet; area outside city,tuǎn
蛏,razor clam,chēng
蠛,"flies, small insects produced in damp places",miè
髌,kneecap,bìn
茔,"grave, tomb, cemetery",yíng
臨,"draw near, approach; descend",lín
诼,slander; gossip; rumors,zhuó
嬖,favorite; a minion,bì
耒,handle of plow; plow; rad. 127,lěi
蜣,dung beetle,qiāng
笄,hairpin; fifteen year old girl,jī
跣,bare footed,xiǎn
钣,plate,bǎn
戆,"stupid, simple, simple-minded",gàng
蜉,mayfly; kind of large insect,fú
喾,emperor,kù
铍,beryllium,pī
陉,"defile, mountain pass, gorge",xíng
薹,"cyperus rotundus, type of sedge",tái
肷,area between waist and hips,qiǎn
岵,hill,hù
瓴,concave channels of tiling a long-necked jar,líng
荽,coriander,suī
怫,"sorry, anxious; depressed",fú
钭,a wine flagon,tǒu
窀,to bury,zhūn
缯,silk fabrics; surname,zēng
倬,"noticeable, large; clear, distinct",zhuō
摭,"pick up, gather",zhí
帔,"a skirt; long robe for women, having no sleeves and fasten down the front",pèi
楝,Melia japonica,liàn
痱,"heat rash, prickly heat; ulcers",fèi
蚶,"kind of clam, arca inflata",hān
螬,grubs in fruit,cáo
髑,skull,dú
紅,"red, vermillion; blush, flush",hóng
鼗,small revolving drum with knobs,táo
狷,"rash, impetuous, impulsive",juàn
殛,to put to death to imprison for life,jí
裉,seam in a garment,kèn
粝,unpolished rice; brown rice,lì
萋,luxuriant foliage; crowded,qī
葭,"bulrush, reed; flute, whistle",jiā
衽,lapel; hidden lapel of coat,rèn
鳢,snakehead,lǐ
傧,entertain guests,bīn
喁,"the mouth of a fish at the surface of the water, gasping for breath",yóng
嫘,surname,léi
罟,net; snare; pressure come or go,gǔ
钌,ruthenium,liǎo
裼,,tì
愦,"confused, troubled, muddle-headed",kuì
蝽,bedbug,chūn
雖,"although, even if",suī
锗,germanium,zhě
衿,collar or lapel of garment,jīn
粢,grain offered in ritual sacrifice; millet,zī
醵,contribute for drinks; pool money,jù
跫,sound of footsteps,qióng
鐾,,bèi
廛,"a store, shop; ground alloted to a retainer",chán
墉,wall; fortified wall; small wall,yōng
哌,used in translation,pài
輕,"light; easy, simple; gentle",qīng
扦,"probe, poke, prick, pierce",qiān
堇,yellow loam; clay; season; few,jǐn
婧,modest; supple,jìng
暌,in opposition; distant from; separated,kuí
罱,fishing net,lǎn
镞,"arrowhead, barb; swift, quick",zú
蹰,"hesitate, waver, falter",chú
陟,"climb, scale, ascend; proceed",zhì
鳔,swimming bladder of fish,biào
脘,internal cavity of stomach,wǎn
臟,"internal organs, viscera",zàng
岿,"grand, stately; secure, lasting",kuī
侔,equal,móu
郾,county in Henan province,yǎn
唿,"sad; (Cant.) a bit, part",hū
砹,astatine,ài
疴,"illness, sickness, disease; pain",kē
麸,bran,fū
薨,death of prince; swarming,hōng
綝,"to stop; adjusted, in order",chēn
滁,district in Anhui province,chú
偾,"ruin, cause fail; overthrown",fèn
拊,slap; pat; tap; handle of a vessel,fǔ
撺,hurry; to throw; to urge,cuān
呒,unclear; an expletive,fǔ
狯,"sly, cunning, crafty",kuài
猢,a kind of monkey found in W.China,hú
椁,outer-coffin; vault,guǒ
榱,rafter,cuī
罾,"a large square net, lowered and raised from the bank of the river",zēng
铳,"ancient weapon, blunderbuss",chòng
裎,to take off the clothes and expose the body. to carry in the girdle,chéng
鳚,"general term of a kind of fish, a snake-like fish",wèi
眦,"corner of the eyes, eyesockets",zì
璎,a necklace made of precious stones,yīng
認,"recognize, know, understand",rèn
崞,mountain in Shanxi,guō
缇,"reddish color, red, brown",tí
蝣,mayfly (Ephemera strigata),yóu
萑,"grass used for making mats; Huanpu, place famous for robbers",huán
狲,monkey,sūn
缱,"attached to, inseparable; entangl",qiǎn
晷,shadows of sun; time; sundial,guǐ
冼,a surname,xiǎn
痧,cholera; colic,shā
統,"govern, command, control; unite",tǒng
蕖,,qú
狍,species of deer found in north China,páo
憷,painful; suffering; privation,chù
锛,adze,bēn
窨,"a cellar, a store-room",xūn
袼,,gē
帏,curtain that forms wall,wéi
儋,a small jar; to bear a burden; a load of two,dān
绨,"coarse pongee, kind of heavy silk",tí
疠,"a sore, ulcer; pestilence",lì
蘩,Artemisia stellariana,fán
嵝,Goulou mountain peak in hunan,lǒu
庀,to prepare; to regulate to hand up,pǐ
汜,a stream which leaves the main branch then later returns,sì
炅,brilliance,jiǒng
煳,"be burned, to char (in cooking)",hú
泶,,xué
瓠,bottle gourd; calabash; pot,hù
窳,"dirty, useless, weak, powerless; cracked, a flaw",yǔ
虮,"louse eggs, nits",jǐ
蚰,millipede,yóu
邰,surname; state in modern Shanxi,tái
苊,an organic compound,è
砀,brilliantly colored stone with veined patterns in it,dàng
捩,"twist with hands; snap, tear",liè
蹉,"error, mistake, slip; failure",cuō
莪,artemisia,é
螽,katydid,zhōng
覺,to wake up from sleep; conscious,jué
蘼,,mí
槔,,gāo
曛,twilight; sunset,xūn
蛲,worms,náo
鹾,salty; salt,cuó
隹,bird; KangXi radical 172,zhuī
犸,mammoth,mà
衄,"epistaxis, nosebleed; to be defeated",nǜ
觀,"see, observe, view; appearance",guān
轉,"shift, move, turn",zhuǎn
銎,eyehole to hang an axe by,qióng
泫,"weep; cry; shine, glisten",xuàn
玢,(archaic) a kind of jade,bīn
辊,"turn round, revolve; roller",gǔn
瞋,glare with anger,chēn
墀,porch; courtyard; steps leading,chí
酐,anhydride,gān
隱,"hide, conceal; hidden, secret",yǐn
堞,plate,dié
尥,,liào
嚯,,huò
猗,exclamation of admiration,yī
逑,"collect, unite; match, pair",qiú
逯,leave without reason; surname,lù
硖,(archaic) town in Hebei province,xiá
噻,character used in translation,sāi
嵛,county in Shandong province,yú
畀,to give,bì
運,"luck, fortune; ship, transport",yùn
鲃,"a kind of fish; a bonito, (same as ",bā
偬,urgent,zǒng
鄞,county in Zhejiang province,yín
呖,used in onomatopoetic expressions,lì
溧,river in Anhui and Jiangsu provinces,lì
嬲,"frolic, play with; flirt with; (Cant.) angry",niǎo
肭,fat; seal (moon radical DKW: 14342 is different),nà
鹈,pelican,tí
鹱,,hù
窭,"poor, impoverished",jù
黧,"a dark, sallow colour",lí
谵,talkative; incoherent talk,zhān
沆,a ferry; fog; flowing,hàng
嫒,(your) daughter,ài
塬,plateau,yuán
缣,fine silk,jiān
篯,,jiān
酃,"the spirit of a being, which acts upon others spirit; divine; efficacious",líng
喱,gramme; syllable,lí
泔,"water from washing rice to boil thick, as gruel",gān
溘,"abruptly, suddenly, unexpectedly",kè
迕,"obstinate, perverse",wù
肀,pen; radical number 129,yù
秫,glutinous variety of millet,shú
裣,,liǎn
铋,bismuth,bì
蒌,artemisia stelleriana,lóu
曩,"in ancient times, of old, former",nǎng
赀,property; wealth; to count,zī
箪,small bamboo basket for holding,dān
朊,,ruǎn
鳙,bighead,yōng
仫,tribe,mù
钎,tool for boring holes,qiān
芑,white millet,qǐ
胙,,zuò
盱,wide open eyes; to gaze in astonishment,xū
糇,"dried rice, dry provisions",hóu
挹,to bale out; to decant liquids,yì
捭,to open; to spread out,bǎi
悱,to be desirous of speaking,fěi
鬟,dress hair in coiled knot; maid,huán
緩,"slow, leisurely; to postpone, delay",huǎn
請,"ask, request; invite; please",qǐng
崤,mountain in Henan,xiáo
澶,"still water, placid, tranquil",chán
甾,"ground that has been under cultivation for one year; evil, calamity",zāi
欹,fierce dog; interjection of pleas; (Cant.) strange,yī
瞽,blind; blind musician; stupid,gǔ
钇,yttrium,yǐ
鹪,wren,jiāo
鞔,sides or uppers of shoes to stretch a skin on a frame for a drum; (Cant.) to cover,mán
缡,a bridal veil; to tie; to bind,lí
